ac-daemon: CTRL tcp://127.0.0.1:29700  DATA tcp://127.0.0.1:29701
jack: client "ac-daemon-86" out->[] in<-Some("Babyface Pro Pro:capture_2")
drain-tick seq=51 dt_us=53352 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=52 dt_us=53390 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=53 dt_us=53232 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=54 dt_us=53379 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=55 dt_us=53376 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=56 dt_us=53253 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=57 dt_us=53364 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=58 dt_us=53385 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-window sr=96000 ticks=19 elapsed_s=1.0134 samples=97280 rate=0.9999x mean_dt_us=53336 n_min=5120 n_max=5120 occ_max=24320 zero_ticks=0 max_zero_run=0 max_zero_run_s=0.000 session_ticks=57 session_elapsed_s=3.040 session_rate=1.0000x
drain-tick seq=59 dt_us=53284 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=60 dt_us=53341 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=61 dt_us=53366 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=62 dt_us=53254 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=63 dt_us=53369 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=64 dt_us=53386 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=65 dt_us=53252 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=66 dt_us=53378 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=67 dt_us=53359 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=68 dt_us=53256 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=69 dt_us=53371 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=70 dt_us=53384 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=71 dt_us=53245 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=72 dt_us=53381 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=73 dt_us=53378 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=74 dt_us=53243 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=75 dt_us=53373 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=76 dt_us=53383 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=77 dt_us=53246 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-window sr=96000 ticks=19 elapsed_s=1.0133 samples=97280 rate=1.0001x mean_dt_us=53329 n_min=5120 n_max=5120 occ_max=24320 zero_ticks=0 max_zero_run=0 max_zero_run_s=0.000 session_ticks=76 session_elapsed_s=4.053 session_rate=1.0000x
drain-tick seq=78 dt_us=53368 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=79 dt_us=53386 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=80 dt_us=53244 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=81 dt_us=53390 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=82 dt_us=53363 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=83 dt_us=53242 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=84 dt_us=53376 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
